sentence_A,sentence_B,label
无线充电复合板，这种板的制造方法，无线能量发射和收集装置|本发明涉及一种无线充电复合板以及制造这种复合板的方法。 根据实施例的无线充电复合板作为本发明的实施例，包括构造成用于屏蔽在无线充电线圈处产生的电子波的电磁波屏蔽层； 以及石墨层，其通过所述电磁波屏蔽层粘附在所述电磁波屏蔽层上，并且包括在其上产生的穿孔，其中所述穿孔的至少一部分内部充满来自所述电磁波屏蔽层的粘附部件。 本发明还涉及一种使用上述复合板的无线能量发射和采集装置。,"TẤM PHỨC HỢP SẠC KHÔNG DÂY,  PHƯƠNG PHÁP CHẾ TẠO TẤM NÀY,  THIẾT BỊ TRUYỀN VÀ THU NĂNG LƯỢNG KHÔNG DÂY|Sáng chế đề cập đến tấm phức hợp sạc không dây và phương pháp chế tạo tấm phức hợp này. Tấm phức hợp sạc không dây theo một phương án làm ví dụ thực hiện sáng chế bao gồm lớp chắn sóng điện từ được tạo kết cấu để chắn sóng điện tử sinh ra ở cuộn sạc không dây;  và lớp graphit mà được dính vào lớp chắn sóng điện từ nhờ lớp chắn sóng điện từ,  và bao gồm các lỗ xuyên được tạo ra ở đó,  trong đó ít nhất một phần bên trong của lỗ xuyên được điền đầy thành phần kết dính xuất phát từ lớp chắn sóng điện từ. Sáng chế còn đề cập đến thiết bị truyền và thu năng lượng không dây có sử dụng tấm phức hợp nêu trên.",0.0
"Methods to strengthen skin moisturizing,  exfoliate,  enhance skin elasticity,  prevent skin redness,  improve skin wrinkles,  or reduce skin aging due to sun exposure.|The invention provides a cosmetic composition,  a health-care functional food composition,  a medicine and a cosmetic medicine containing ion on or ion on salts as effective components for enhancing skin moisturizing,  exfoliating,  enhancing skin elasticity,  preventing skin redness,  improving skin wrinkles,  and/or relieving skin aging due to sun exposure.","PHƯƠNG PHÁP TĂNG CƯỜNG DƯỠNG ẨM CHO DA,  TẨY DA CHẾT,  TĂNG CƯỜNG TÍNH ĐÀN HỒI CHO DA,  NGĂN NGỪA DA BỊ TẤY ĐỎ,  CẢI THIỆN TÌNH TRẠNG DA BỊ NHĂN,  HOẶC GIẢM SỰ LÃO HÓA CỦA DA DO ÁNH NẮNG MẶT TRỜI|Sáng chế đề xuất phương pháp tăng cường dưỡng ẩm cho da,  tẩy da chết,  tăng cường tính đàn hồi của da,  ngăn ngừa da tấy đỏ,  cải thiện tình trạng da bị nhăn,  và/hoặc giảm sự lão hóa của da do ánh nắng mặt trời bằng cách sử dụng chế phẩm mỹ phẩm,  chế phẩm thực phẩm chức năng chăm sóc sức khỏe,  dược phẩm,  và dược mỹ phẩm có chứa ionon hoặc muối của ionon làm thành phần hoạt tính.",0.0
信息处理设备，系统和方法，服务器设备和计算机可读记录对象|本发明涉及一种信息处理装置，其包括触发控制器，该触发控制器被配置为向服务器装置发送包括短程通信读取的信息的第一信息，根据第一信息获取从服务器装置发送的第二信息，并根据获得的第二信息控制信息处理装置本身的应用触发。,"THIẾT BỊ,  HỆ THỐNG VÀ PHƯƠNG PHÁP XỬ LÝ THÔNG TIN,  THIẾT BỊ MÁY CHỦ VÀ VẬT GHI ĐỌC ĐƯỢC BẰNG MÁY TÍNH|Sáng chế đề cập đến thiết bị xử lý thông tin bao gồm bộ điều khiển kích hoạt được tạo cấu hình để truyền thông tin thứ nhất bao gồm thông tin được đọc nhờ truyền thông tầm ngắn đến thiết bị máy chủ,  để thu thông tin thứ hai được truyền từ thiết bị máy chủ theo thông tin thứ nhất,  và để điều khiển sự kích hoạt ứng dụng của chính thiết bị xử lý thông tin dựa vào thông tin thứ hai thu được.",0.0
"A method for producing flour and fried food is provided.|An abstract of the present invention,  which is displayed on an advertisement bulletin page :  page 1,  page 1,  provides a method of producing a fried coated food product,  the method comprising a powder conduction step;  The coating and coating are applied to the mixture and then the mixture is fried. Powder amount;  The coating applied to the mixture is in the range of 10 to 30 mass fractions,  whereas the coating to be applied to the mixture is in the range of 15 to 25 mass fractions,  and the mass fraction of the mixture is in the range of 100 mass fractions. A method for coating a powder;  The mixture should be used by attaching a powder coating to the mixture while applying moisture to its surface;  According to the method for producing the fried coated food,  ingredients can be obtained;  Wherein the fried glazed food retains its texture as if it were newly cooked,  even after time has elapsed;  Quality deterioration is not likely to occur even if the fried coated food is reheated;  In microwave ovens or the like.",วิธีการการผลิตอาหารชุบแป้งและทอด|บทสรุปการประดิษฐ์ซึ่งจะปรากฏบนหน้าประกาศโฆษณา   : หน้า 1 ของจำนวน 1 หน้าบทสรุปการประดิษฐ์การประดิษฐ์จัดให้มีวิธีการสำหรับการผลิตอาหารเคลือบทอดที่รวมถึงขั้นตอนการนำผง; เคลือบและสารสิ่งเคลือบไปใช้กับส่วนผสมและหลังจากนั้นการทอดส่วนผสม ปริมาณของผง; เคลือบที่นำไปใช้กับส่วนผสมเป็น 10 ถึง 30 ส่วนโดยมวลและที่ควรใช้คือ 15 ถึง 25 ส่วนโดยมวลเทียบกับ 100 ส่วนโดยมวลของส่วนผสม ในฐานะที่เป็นวิธีการสำหรับการนำผงเคลือบไปใช้กับ; ส่วนผสม ที่ควรใช้คือการยึดเกาะผงเคลือบกับส่วนผสมในขณะที่ความชื้นถูกนำไปใช้กับพื้นผิวของ; ส่วนผสม ด้วยวิธีการสำหรับการผลิตอาหารเคลือบทอดตามการประดิษฐ์นี้ มันเป็นไปได้ที่จะได้มา; ซึ่งอาหารเคลือบทอดที่ยังคงรักษาเนื้อสัมผัสที่เหมือนปรุงใหม่ไว้ได้แม้เมื่อเวลาได้ผ่านไปหลังจากการ; ปรุงและซึ่งไม่น่าจะทำให้เกิดการเสื่อมลงในคุณภาพแม้เมื่ออาหารเคลือบทอดถูกให้ความร้อนอีกครั้ง; ในเตาไมโครเวฟหรือสิ่งที่คล้ายกัน,0.0
微显示器件与显示集成电路|本发明的实施例涉及微显示设备和显示集成电路，并且， 更具体地说，对于微显示装置和显示集成电路，包括 : 像素阵列芯片，包括设置有多个栅极线和多条数据线定义的多个子像素的像素阵列区，以及在像素阵列区的外部区域设置多个通电极与多条栅极线和多条数据线相连的通区； 以及控制芯片，包括电路区域，在该电路区域中设置有纹理生成用于通过多个交叉电极控制多条栅极线和多条数据线的控制电路，因此具有高效率。 &L；Image1,"THIẾT BỊ VI HIỂN THỊ VÀ MẠCH TÍCH HỢP HIỂN THỊ|&lt; Image1 Các phương án của sáng chế này đề cập đến thiết bị vi hiển thị và mạch tích hợp hiển thị và,  cụ thể hơn,  đến thiết bị vi hiển thị và mạch tích hợp hiển thị,  thiết bị này bao gồm :  chip mảng điểm ảnh bao gồm vùng mảng điểm ảnh trong đó nhiều điểm ảnh phụ được xác định bởi nhiều đường cổng và nhiều đường dữ liệu được bố trí,  và vùng qua trong đó nhiều điện cực qua được nối với nhiều đường cổng và nhiều đường dữ liệu ở vùng bên ngoài của vùng mảng điểm ảnh được bố trí;  và chip điều khiển bao gồm vùng mạch trong đó mạch điều khiển được tạo kết cấu để điều khiển nhiều đường cổng và nhiều đường dữ liệu qua nhiều điện cực qua được bố trí,  và do đó có hiệu quả cao. &lt; Image1",0.0
"Charging system for axle assembly,  axle assembly and hub|The invention relates to a vehicle axle assembly and a combination system. In some cases,  the wheel axle assembly (& LT;  IMAGE 1300) includes a main body portion having an internal space,  a shaft (209) penetrating the main body portion,  a stator unit fixed to the shaft (209),  a side cover (321) fixedly mounted on the shaft and rotatably connected with the main body portion,  the side cover (321) having a base portion and an engagement portion extending from the base portion,  through which a first connector pair is provided. Each first connector includes a terminal and a contact portion. The magnetic pole head is electrically connected to the battery assembly through a wire harness mounted on the side cover. The contact portion is designed to be electrically connected to an external power supply through a wired connection to charge the battery assembly. The invention also relates to a charging system for a vehicle axle assembly and a wheel mounted with the vehicle axle assembly.",车轮轴总成。车轮和车轮轴总成的动力充电系统|本发明涉及车轮轴组件和组合系统。 在某些情况下，车轮轴组件(&LT；IMAGE1300)包括具有内部空间的主体部分，轴(209)贯穿主体部分，定子单元固定在轴(209)上，侧盖(321)固定安装在轴上并与主体部分旋转连接，侧盖(321)具有基部和从基部延伸的接合部分，通过接合部分设置第一连接器对。 每个第一连接器包括一个端子和一个接触部分。 所述磁极头通过安装在所述侧盖上的电线束电连接到所述电池组件。 所述接触部分被设计成通过有线连接与外部电源进行电连接以对电池组件进行充电。 本发明还涉及一种用于车轮轴组件的充电系统以及安装了这种车轮轴组件的车轮。,0.0
"Technology for Obtaining Fatty Oil from Tang Membrane Fruit by Distilling Essential Oil|The invention provides a method for extracting fatty oil from tang membrane fruit with ethyl alcohol 700 solvent in an extraction barrel provided with a heating device and a stirrer,  and the extraction time is 12 hours. There are 9 important fatty acids in fatty oil,  which can be used in food,  cosmetics and medicine.","QUY TRÌNH THU NHẬN DẦU BÉO TỪ QUẢ MÀNG TANG SAU KHI CHƯNG CẤT TINH DẦU|Sáng chế đưa ra quy trình thu nhận dầu béo từ quả màng tang bằng dung môi cồn etylic 700 trong thùng trích ly có thiết bị gia nhiệt và cánh khuấy,  thời gian trích ly là 12 giờ. Thành phần dầu béo có 9 axit béo quan trọng,  có thể sử dụng trong thực phẩm,  mỹ phẩm và y học.",0.0
"Door slot cover for a sensor block,  the sensor block comprising the door slot cover|The invention relates to a door groove housing for a sensing block,  wherein the sensing block comprises the door groove housing,  the door groove housing comprises a body in which an element accommodating unit accommodating a light emitting element and a light absorbing element of the sensing block is arranged;  And a radiation unit disposed at a position corresponding to the light emitting element in the element receiving unit to change the light generated from the light emitting element to a predetermined light beam range and radiate the light.",用于传感器块的门槽外壳和包含此门槽外壳的传感器块|本发明涉及一种用于感测块的门槽壳体，感测块包含此门槽壳体，该门槽壳体包括 : 本体，在本体中设置有容纳感测块的光发射元件和光吸收元件的元件容纳单元； 以及辐射单元，其设置在元件容纳单元中与光发射元件相对应的位置上，以使从光发射元件产生的光改变到预定的光束范围，并辐射此光。,0.0
"Throttle sensing unit|The invention relates to a throttle sensor,  which can stably generate a load of a throttle clamping tool without increasing the size of the throttle sensor. The throttle sensor is rotatably fitted to the joystick on which the throttle clamping tool is fitted. The joystick is meshed with the casing,  and the gear is wrapped in the casing and rotatably assembled on the joystick so that it rotates in response to the rotation of the throttle clamping tool. The gear has protruding portions that respectively protrude from the gear to both sides of the joystick in the direction of its central axis. The adjacent protruding part saves wrapping and avoids movement relative to the gear in the rotation direction of the gear.",BỘ CẢM BIẾN VAN TIẾT LƯU|Sáng chế đề cập đến bộ cảm biến van tiết lưu có khả năng sinh ra tải của dụng cụ kẹp van tiết lưu một cách ổn định và không làm tăng kích cỡ bộ cảm biến van tiết lưu. Bộ cảm biến van tiết lưu được lắp ráp vào cần điều khiển mà trên đó dụng cụ kẹp van tiết lưu được lắp ráp theo cách quay được. Cần điều khiển được lồng vào vỏ bọc và bánh răng được bọc trong vỏ bọc và được lắp ráp theo cách quay được vào cần điều khiển để làm quay đáp ứng với sự quay của dụng cụ kẹp van tiết lưu. Bánh răng có phần nhô ra mà nhô ra riêng phần từ bánh răng về hai phía của cần điều khiển theo hướng trục trung tâm của nó. Phần nhô ra tiếp giáp với bỏ bọc và tránh được việc di chuyển so với bánh răng theo hướng quay của bánh răng.,0.0
"Granules coated with zinc oxide,  mixtures containing such granules,  and methods of making such granules.|An abstract of the invention is shown on a bulletin page :  page 1 of page 1,  the abstract discloses particles coated with zinc oxide and/or zinc carbonate,  and a coating method;  Various uses of particles and coated particles containing zinc oxide and/or zinc carbonate;  This includes the use in cosmetics,  rubbers and other polymeric materials. And;  The present invention relates to a rubber mixing formula respectively filled with zinc oxide and core material. Mixed formulations comprising inexpensive particles;  The coating can have higher transparency,  lower Mooney viscosity and lower minimum torque and capacity;  Better dispersibility,  higher modulus at 100% and/or 300% elongation and higher tensile strength;  Better aging resistance,  better abrasion resistance,  lower density and/or lower;  Thermal deposition. Thus,  products having such coated particles may be more desirable to have similar properties;  Or better than comparative products including conventional fillers and/or zinc oxide itself;  Furthermore,  Such coated particles may provide a cost-effective effect for consistent product formulations.",用氧化锌包覆的颗粒，含有这种颗粒的混合物，以及制造这种颗粒的方法。|本发明摘要显示在公告页上：第1页的第1页，本发明摘要揭示了用氧化锌和/或碳酸锌包覆的颗粒，以及包覆方法；含氧化锌和/或碳酸锌的颗粒和包覆颗粒的各种应用；这包括在化妆品、橡胶和其他高分子材料中的应用。与；用氧化锌和芯材分别填充的橡胶混合配方。包括廉价颗粒的混合配方；该涂层可具有较高的透明度、较低的穆尼粘度和较低的最小扭矩、容量；更好的分散性，100%和/或300%伸长率时的模量更高，抗拉强度更高；更好的抗老化性、更好的耐磨性、更低的密度和/或更低；热沉积。因此，具有这种涂层颗粒的产品可能更喜欢具有类似的性能；或优于包括传统填料和/或氧化锌本身的比较产品；而且；这种包覆的颗粒可能会为一致产品的配方提供节省成本的效果。,0.0
