abs_English,abs_Chinese,abs_Original
"Water and lighting equipment for indoor potted plants|The invention relates to an indoor potted plant watering and lighting device for maintaining moisture and light of indoor small potted plants,  which comprises a water bottle,  a low-power motor,  a soil moisture sensor,  a light sensor,  a microprocessor,  a display,  a remote controller through the Internet,  an auxiliary component connected with a computer,  a lighting device and a device for supplying potted water. Humidity sensors are placed near stumps to measure soil moisture. The microprocessor receives a signal of soil moisture to control the irrigation pump to maintain soil moisture according to a pre-programmed value. Similarly,  lighting is programmed according to user requirements. Soil moisture values,  on and off times can be set with one key. Information on soil moisture and light intensity can be displayed on OLED display screen and stored in memory card over time. The device also has a port connected to the camera for recording the growth of plants. In addition,  the device can be connected to computers and Internet networks for remote observation of & Image1T.",室内植物盆栽的浇水和照明设备|本发明涉及一种用于保持室内小型盆栽的水分和光线的室内盆栽浇水和照明装置，包括水瓶，小功率电机，土壤水分传感器，光传感器，微处理器，显示器，通过互联网的遥控器，与计算机连接的辅助部件，照明器和供盆栽用水的装置。 湿度传感器放置在树桩附近，测量土壤水分。 微处理器接收土壤水分的信号，以控制灌溉泵按照预先编程的数值保持土壤水分。 同样，照明也是根据用户的要求编程的。 土壤湿度值，打开和关闭时间可以通过一个键来设置。 土壤湿度和光照强度的信息可以显示在OLED显示屏上，并随时间存储在存储卡中。 该设备还具有连接到摄像机的端口，用于记录植物的生长情况。 此外，该设备还可以连接到计算机和Internet网络，以便远程观察&Image1T。,"THIẾT BỊ TƯỚI NƯỚC VÀ CHIẾU SÁNG CHO CHẬU CÂY TRỒNG TRONG NHÀ|Sáng chế đề cập đến thiết bị tưới nước và chiếu sáng cho chậu cây trồng trong nhằm duy trì độ ẩm và ánh sáng cho những chậu cây nhỏ đặt trong nhà,  thiết bị này bao gồm chai nước,  mô tơ công suất nhỏ,  bộ cảm biến độ ẩm đất,  bộ cảm biến ánh sáng,  bộ vi xử lý,  màn hình hiển thị,  bộ điều khiển từ xa thông qua mạng internet,  linh kiện phụ trợ để kết nối với máy tính,  đốn chiếu sáng,  và bộ cung cấp nước cho cây trồng. Bộ cảm biến độ ẩm được đặt gần gốc cây để đo độ ẩm của đất. Bộ vi xử lý nhận tín hiệu về độ ẩm của đất để điều khiển máy bơm tưới nước duy trì độ ẩm của đất theo các giá trị đã được lập trình sẵn. Tương tự như vậy,  việc chiếu sáng cũng được lập trình theo yêu cầu của người sử dụng. Giá trị độ ẩm của đất,  thời gian bật tắt đốn có thể được đặt trước bằng một phím bấm. Các thông tin về độ ẩm của đất và cường độ ánh sáng có thể được hiển thị trên màn hình oled và được lưu trữ trong thẻ nhớ theo thời gian. Thiết bị còn có một cổng kết nối với máy ảnh để ghi lại sự phát triển của cây. Ngoài ra,  thiết bị còn có thể được kết nối với máy tính và hòa mạng internet để quan sá&lt; Image1 t từ xa."
"A method for boot a device,  an electronic device,  and a computer-readable storage medium|The invention relates to the technical field of electronics,  and provides a method for starting equipment,  electronic equipment and computer readable storage medium. Through a user's one-key starting operation,  the starting and authentication of a user's identity are realized,  the time interval required for user operation,  equipment starting and system login is reduced,  and the equipment starting performance and system login performance are improved. The specific scheme is as follows :  the device comprises a power supply node and a fingerprint sensor,  wherein the power supply node is integrated with the fingerprint sensor,  and the method can be applied to the process of starting the device by pressing the power supply node by a user. The method comprises the following steps :  obtaining fingerprint information obtained by the fingerprint sensor and saving the fingerprint information;  And obtaining a fingerprint authentication request and providing fingerprint information for fingerprint authentication so as to log in to the operating system of the device. & L;  Image1",用于启动设备，电子设备和计算机可读存储介质的方法|本发明涉及电子技术领域，提出了一种启动设备的方法， 电子设备，计算机可读存储介质，通过用户进行一键启动操作，实现用户身份的启动和认证，减少用户操作和设备启动和系统登录所需的时间间隔，提高设备启动性能和系统登录性能。 具体方案是 : 装置包括电源节点和指纹传感器，其中电源节点与指纹传感器集成，该方法可应用于用户按下电源节点启动装置的过程，该方法包括以下步骤 : 获取指纹传感器获取的指纹信息，保存指纹信息； 以及获取指纹认证请求，并提供指纹信息进行指纹认证，以便登录设备的操作系统。 &L；Image1,"PHƯƠNG PHÁP ĐỂ KHỞI ĐỘNG THIẾT BỊ,  THIẾT BỊ ĐIỆN TỬ,  VÀ PHƯƠNG TIỆN LƯU TRỮ ĐỌC ĐƯỢC BẰNG MÁY TÍNH|Sáng chế đề cập tới lĩnh vực của các kỹ thuật điện tử và đề xuất phương pháp để khởi động thiết bị,  thiết bị điện tử,  và phương tiện lưu trữ đọc được bằng máy tính,  để thực hiện việc khởi động và xác thực nhận dạng người dùng bằng cách thực hiện thao tác khởi động một nút bởi người dùng,  giảm các thao tác của người dùng và khoảng thời gian mà được yêu cầu để khởi động thiết bị và đăng nhập hệ thống,  và cải thiện hiệu suất khởi động thiết bị và hiệu suất đăng nhập hệ thống. Giải pháp cụ thể là :  thiết bị bao gồm nút nguồn và cảm biến dấu vân tay,  trong đó nút nguồn được tích hợp với cảm biến dấu vân tay,  phương pháp có thể được áp dụng với quá trình trong đó người dùng ấn nút nguồn để khởi động thiết bị,  và phương pháp này bao gồm các bước :  thu được thông tin dấu vân tay thu được bởi cảm biến dấu vân tay,  và lưu thông tin dấu vân tay;  và thu được yêu cầu xác thực dấu vân tay,  và cung cấp thông tin dấu vân tay để thực hiện việc xác thực dấu vân tay,  để đăng nhập vào hệ điều hành của thiết bị. &lt; Image1"
"Electronic device and method for controlling operation thereof|The invention relates to an electronic device and an operation control method thereof. An electronic device according to one example of the present invention includes a proximity sensor for generating proximity information about an object approaching the electronic device;  Iris sensor for detecting iris;  And a first processor for controlling the electronic device,  wherein the first processor may be configured to :  determine a distance between the electronic device and the object according to proximity information generated by the proximity sensor;  When the distance between the electronic device and the subject is greater than the first reference value,  detecting an eye cavity by using an iris sensor;  And deactivating the iris sensor when a distance between the electronic device and the object is less than or equal to the first reference value. In addition,  the invention may have other examples.",电子设备及其操作控制方法|本发明涉及一种电子设备及其操作控制方法。 根据本发明的一个实例的电子设备包括 : 接近传感器，用于产生关于物体接近电子设备的接近信息； 用于检测虹膜的虹膜传感器； 以及用于控制电子设备的第一处理器，其中第一处理器可设置为 : 根据由接近传感器产生的接近信息，确定电子设备与对象之间的距离； 当电子设备与被摄物之间的距离大于第一参考值时，利用虹膜传感器检测眼睛空洞； 以及当所述电子装置与所述对象之间的距离小于或等于所述第一参考值时，将所述虹膜传感器解激活。 另外，本发明还可以具有其他示例。,"THIẾT BỊ ĐIỆN TỬ VÀ PHƯƠNG PHÁP ĐIỀU KHIỂN HOẠT ĐỘNG CỦA THIẾT BỊ NÀY|Sáng chế đề cập đến thiết bị điện tử và phương pháp điều khiển hoạt động của thiết bị này. Thiết bị điện tử theo một ví dụ của sáng chế bao gồm :  cảm biến tiệm cận để tạo thông tin tiệm cận về đối tượng đến gần thiết bị điện tử;  cảm biến mống mắt để phát hiện mống mắt;  và bộ xử lý thứ nhất để điều khiển thiết bị điện tử,  trong đó bộ xử lý thứ nhất có thể được thiết lập để :  xác định khoảng cách giữa thiết bị điện tử và đối tượng trên cơ sở thông tin tiệm cận được tạo ra bởi cảm biến tiệm cận;  phát hiện mổng mắt bằng cách sử dụng cảm biến mống mắt khi khoảng cách giữa thiết bị điện tử và đối tượng lớn hơn giá trị tham chiếu thứ nhất;  và khử kích hoạt cảm biến mống mắt khi khoảng cách giữa thiết bị điện tử và đối tượng nhỏ hơn hoặc bằng giá trị tham chiếu thứ nhất. Ngoài ra,  sáng chế cũng có thể có các ví dụ khác."
"Processing device and processing method comprising the device|The invention relates to a processing device,  which comprises a first bearing pair that supports the rotation of a rotating shaft of a sample roller;  And a second bearing pair disposed at a position opposite to the first bearing pair,  supporting the rotation of the rotation shaft of the anvil roller,  wherein the processing device includes a thermal sensor and a heating unit on at least one of the first bearing and the second bearing;  And a temperature controller for maintaining the temperature of the bearing having the thermal sensor and the preheater at the heating setting temperature,  wherein the temperature controller inputs the bearing heating process to the preheater according to the temperature of the bearing measured by the thermal sensor.",处理设备和包括此设备的处理方法|本发明涉及一种加工装置，包括 : 第一轴承对，其支承样品辊的旋转轴转动； 以及第二轴承对，设置在与第一轴承对相对的位置上，支撑砧辊的旋转轴转动，其中处理装置包括第一轴承和第二轴承中的至少一个上的热传感器和加热单元； 以及温度控制器，用于将具有热传感器和预热器的轴承的温度维持在加热设定温度，其中，温度控制器根据热传感器测量的轴承的温度将轴承加热过程输入到预热器。,"THIẾT BỊ XỬ LÝ VÀ PHƯƠNG PHÁP XỬ LÝ BAO GỒM THIẾT BỊ NÀY|Sáng chế đề cập đến thiết bị xử lý,  bao gồm :  cặp ổ trục đầu tiên hỗ trợ quay trục quay của con lăn mẫu;  và cặp ổ trục thứ hai được bố trí ở các vị trí đối diện với cặp ổ trục đầu tiên,  và hỗ trợ quay trục quay của con lăn đe,  trong đó thiết bị xử lý bao gồm bộ cảm biến nhiệt và bộ gia nhiệt trên ít nhất một trong ổ trục thứ nhất và ổ trục thứ hai;  và bộ điều khiển nhiệt độ để duy trì nhiệt độ của ổ trục có bộ cảm biến nhiệt và bộ gia nhiệt ở nhiệt độ cài đặt làm nóng,  trong đó bộ điều khiển nhiệt độ đưa quy trình làm nóng ổ trục tới bộ gia nhiệt dựa trên nhiệt độ của ổ trục được đo bằng bộ cảm biến nhiệt."
"The sensing probe uses Bragg grating in partially corroded optical fiber (E-FBG) and has a functional layer coating to enhance the selectivity of the agent to be tested,  which can be used for many times.|The invention relates to a Bragg grating insulated sensing probe (E-FBG) in a partially corroded optical fiber,  A functional layer coated with a chemical-biological receptor phase is used for selective measurement of chemical or biological agents dissolved in a liquid medium. By stripping the functional layer of adsorbed impurities and drying with a pressurized blowing flow,  a new functional layer is made for repeated use for further measurement. A partially etched Bragg grating sensing probe having a highly selective and reusable functional coating includes :  The Bragg insulating probe in the partially etched optical fiber E-FBG (9) is held in the center by the substrate (6,  12) positioned in the center of the semi-cylindrical substrate (7,  22) having the E-FBG holding function,  and a plane for coating the functional film (8,  26,  32) of the photosensitive-biosensor (8,  26,  32) having the V-shaped microchannel (25) is made by mechanical film pressing and printing technology or 3D printing technology. The cylinder pipes (6,  12) and the cylinder half pipes (7,  22) are tightly connected together by convex pins (13,  14) and convex pins (23,  24) so that they can be removed and installed when fixing the sensor probe. The measured functional coating film (8,  26,  32) can be wiped with a specific solvent (solvent for polymer and photosensitive phases),  rinsed with clean water,  dried with gas flow of gas bellows (15),  and further coated with a new functional coating film to allow subsequent measurements. In the coating film precursors (polymers,  chemobiological receptors and their concentrations),  A technique for coat a functional film and creating a microchannel with that thickness of the film and the size of the microchannel,  For optimal sensor sensitivity :  The E-FBG sensing probe adopting the structure of the invention is very suitable for measuring chemical-biological reagents existing in the liquid medium and has low price because the surface of the E-FBG insulated silicon glass is not corroded during the measurement and pickling process of the functional coating,  and the measurement result of using chemical-biological impurities in the liquid medium has high repeatability,  so that the E-FBG sensing probe adopting the structure of the invention is very suitable for measuring chemical-biological reagents existing in the liquid medium.",利用部分腐蚀光纤(E-FBG)中的Bragg光栅增强试剂选择性的传感探头需要测量并多次使用|本发明涉及一种部分腐蚀光纤中的布拉格光栅绝缘传感探头(E-FBG)，涂覆有化学-生物感受器相的功能层，用于选择性测量溶解在液体介质中的化学或生物剂，通过剥离已吸附杂质的功能层，用加压吹气流干燥，制作新的功能层以下次继续测量而重复使用。 具有高选择性和重复使用的功能涂层的部分腐蚀布拉格光栅传感探头包括 :  部分腐蚀的光纤E-FBG(9)中的布拉格绝缘探针由定位在具有E-FBG保持功能的半圆柱基板(7，22)中心的基板(6，12)保持中心，并通过机械压膜和印刷技术或3D印刷技术制作用于涂覆具有V型微流道(25)的感光-生物传感(8，26，32)的功能膜(8，26，32)的平面。 气缸管(6，12)和半气缸管(7，22)通过凸形销(13，14)和凸形销(23，24)紧密地连接在一起，以便在固定传感器探头时可以拆卸和安装。 测量后的功能性涂膜(8，26，32)可用特定溶剂(用于聚合物和感光剂相的溶剂)擦拭，用清水冲洗，并用气体波纹管(15)的气流干燥，并进一步涂复新的功能性涂膜，以允许随后的测量。 在涂膜前驱体(聚合物， 化学-生物受体及其浓度)， 用薄膜厚度和微流道的大小涂覆功能性薄膜并创建微流道的技术，以获得最佳的传感器灵敏度 :  采用本发明所述结构的E-FBG传感探头由于在功能涂层的测量和酸洗过程中，E-FBG绝缘的硅玻璃表面不被腐蚀，在液体介质中使用化学-生物杂质测量结果重复性高，所以E-FBG传感探头非常适合测量存在于液体介质中的化学-生物试剂，价格便宜。,"ĐẦU DÒ CẢM BIẾN SỬ DỤNG CÁCH TỬ BRAGG TRONG SỢI QUANG ĂN MÒN MỘT PHẦN (E-FBG) CÓ PHỦ LỚP CHỨC NĂNG ĐỂ NÂNG CAO ĐỘ CHỌN LỌC TÁC NHÂN CẦN ĐO VÀ SỬ DỤNG ĐƯỢC NHIỀU LẦN|Sáng chế đề cập đến đầu dò cảm biến cách tử Bragg trong sợi quang ăn mòn một phần (e-FBG) được phủ lớp chức năng có pha chất thụ cảm hóa-sinh để đo chọn lọc tác nhân hóa học hoặc sinh học hòa tan trong môi trường lỏng và sử dụng được nhiều lần bằng cách tẩy bỏ lớp chức năng đã hấp phụ các chất tạp,  làm khô bằng dòng khí thổi có áp lực và tạo lớp chức năng mới để tiếp tục đo lần sau. Đầu dò cảm biến cách tử Bragg ăn mòn một phần có phủ lớp chức năng có độ chọn lọc cao và sử dụng được nhiều lần bao gồm :  đầu dò cách tử Bragg trong sợi quang e- FBG (9) ăn mòn một phần được giữ định tâm bởi ống trụ (6, 12) được định vị ở giữa đế bán trụ có chức năng giữ e-FBG (7, 22) và tạo mặt phẳng để phủ màng chức năng (8, 26, 32) pha chất thụ cảm hóa-sinh có kênh vi lưu (25) cấu hình chữ V được chế tạo bằng kỹ thuật trải màng và in ép cơ học hoặc bằng kỹ thuật in 3D. ống trụ (6, 12) và ống bán trụ (7, 22) được kết nối chặt với nhau qua các chốt giũ lâm (13,  14) và chốt lồi (23 , 24) để có thể tháo ,  lắp khi sửa chữa đầu dò cảm biến. Màng phủ chức năng (8, 26, 32) sau khi đo có thể được tẩy bỏ bằng dung môi đặc hiệu (dung môi dùng để pha polime và chất thụ cảm hóa-sinh),  rửa sạch bằng nước sạch và làm khô bằng dòng khí từ ống thổi khí (15) và phủ tiếp màng chức năng mới để cho phép đo tiếp theo. Chất lượng của đầu dò cảm biến e-FBG được kiểm soát trong quá trình tạo tiền chất của màng phủ (polime,  chất thụ cảm hóa-sinh và nồng độ của chúng),  kỹ thuật phủ màng chức năng và tạo kênh vi lưu với độ dày màng và kích thước của kênh vi lưu để có độ nhạy của cảm biến tối ưu :  Đầu dò cảm biến e-FBG với cấu trúc trong sáng chế này sử dụng được rất nhiều lần với độ lặp lại kết quả đo tạp chất hóa-sinh trong môi trường lỏng rất cao do bề mặt thủy tinh silica-của cách tử e-FBG không bị ăn mòn trong quá trình đo và tẩy rửa lớp phủ chức năng,  vì vậy đầu dò cảm biến e-FBG phủ lớp chức năng rất thích hợp để đo các tác nhân hóa-sinh có trong môi trường lỏng với giá thành rẻ."
"Method for detecting intelligent device,  intelligent device and readable computer storage|The invention provides an intelligent equipment wear detection method and an intelligent equipment. The intelligent device includes a first sensor and a second sensor. The method comprises the following steps of :  acquiring a measured value of a first sensor;  When the measured value of the first sensor is greater than the first threshold value,  judging that the intelligent unit is in an inserted state;  Determining that the smart device is in an unworn state when the measured value of the first sensor is less than the second threshold,  wherein the first threshold is greater than the second threshold;  And turning on the second sensor when the measured value of the first sensor is greater than and/or equal to the second threshold and is less than and/or equal to the first threshold;  Acquiring a measured value of the second sensor;  And determining that the smart device is in a wearable state and/or in an unwearable state according to the measured value of the second sensor. As can be known from the above section,  according to the embodiment implementing the present invention,  the power consumption can be reduced while ensuring the detection accuracy. & lt;  Image1",智能仪器，智能仪器和计算机可读存储对象的磨损检测方法|本发明提出了一种智能设备磨损检测方法和智能设备。 智能装置包括第一传感器和第二传感器。 该方法包括 : 采集第一传感器的测量值； 当所述第一传感器的测量值大于所述第一阈值时，判断所述智能单元处于被插入状态； 当所述第一传感器的测量值小于所述第二阈值时，确定所述智能装置处于未佩戴状态，其中所述第一阈值大于所述第二阈值； 以及当第一传感器的测量值大于和/或等于第二阈值，并且小于和/或等于第一阈值时，开启第二传感器； 采集第二传感器的测量值； 以及根据所述第二传感器的测量值确定所述智能设备处于可穿戴状态和/或处于不可穿戴状态。 由上述部分可以知道，根据实施本发明的实施例，可以在保证检测精度的同时降低功耗。&lt；image1,"PHƯƠNG PHÁP DÒ ĐEO THIẾT BỊ THÔNG MINH,  THIẾT BỊ THÔNG MINH,  VÀ VẬT LƯU TRỮ MÁY TÍNH ĐỌC ĐƯỢC|Sáng chế đề xuất phương pháp dò đeo thiết bị thông minh và thiết bị thông minh. Thiết bị thông minh gồm bộ cảm biến thứ nhất và bộ cảm biến thứ hai. Phương pháp gồm :  thu thập giá trị đo của bộ cảm biến thứ nhất;  khi giá trị đo của bộ cảm biến thứ nhất lớn hơn ngưỡng thứ nhất,  xác định rằng thiết bị thông minh ở trạng thái được đeo;  khi giá trị đo của bộ cảm biến thứ nhất nhỏ hơn ngưỡng thứ hai,  xác định rằng thiết bị thông minh ở trạng thái không được đeo,  trong đó ngưỡng thứ nhất lớn hơn ngưỡng thứ hai;  và khi giá trị đo của bộ cảm biến thứ nhất lớn hơn và/hoặc bằng ngưỡng thứ hai,  và nhỏ hơn và/hoặc bằng ngưỡng thứ nhất,  bật bộ cảm biến thứ hai;  thu thập giá trị đo của bộ cảm biến thứ hai;  và xác định,  dựa trên giá trị đo của bộ cảm biến thứ hai,  rằng thiết bị thông minh ở trạng thái được đeo và/hoặc ở trạng thái không được đeo. Có thể biết từ phần trên rằng theo các phương án thực hiện sáng chế,  tiêu thụ điện có thể được giảm trong khi đảm bảo độ chính xác dò.&lt; Image1"
"Sanitary cleaning equipment|The invention relates to a toilet washing device according to an embodiment,  which comprises a heating unit;  The first temperature sensor is configured to identify a temperature of water heated by the heating unit;  A second temperature sensor is disposed behind the first temperature sensor and configured to identify the temperature of the water;  The nozzle is arranged at the rear of the second temperature sensor and structurally sprays water towards the private part of the person;  And a generation control unit for determining an abnormality of the second temperature sensor when the temperature change identified by the first temperature sensor is greater than the first predetermined value and the temperature change identified by the second temperature sensor is less than the second predetermined value. & L;  Image1",卫生洗涤设备|本发明涉及一种根据实施例的卫生间洗涤装置，本发明包括 : 加热单元； 所述第一温度传感器被构造成识别由所述加热单元加热的水的温度； 第二温度传感器设置在第一温度传感器的后面，并且构造成用于识别水的温度； 喷嘴设置在第二温度传感器的后部，并在结构上使水朝向人的私密部分喷射； 以及生成控制单元，用于当由第一温度传感器识别的温度变化大于第一预定值和由第二温度传感器识别的温度变化小于第二预定值时，确定第二温度传感器异常。 &L；Image1,THIẾT BỊ RỬA VỆ SINH|Sáng chế đề cập đến thiết bị rửa vệ sinh theo một phương án thực hiện sáng chế bao gồm :  bộ phận làm nóng;  cảm biến nhiệt độ thứ nhất được tạo cấu hình để nhận biết nhiệt độ của nước được làm nóng bởi bộ phận làm nóng;  cảm biến nhiệt độ thứ hai được bố trí ở phía sau cảm biến nhiệt độ thứ nhất và được tạo cấu hình để nhận biết nhiệt độ của nước;  vòi phun được bố trí ở phía sau cảm biến nhiệt độ thứ hai và được tạo kết cấu để phun nước về phía các bộ phận riêng tư của người;  và bộ phận điều khiển được tạo cấu hình để xác định rằng cảm biến nhiệt độ thứ hai là bất thường khi sự thay đổi nhiệt độ mà được nhận biết bởi cảm biến nhiệt độ thứ nhất lớn hơn trị số định trước thứ nhất và sự thay đổi nhiệt độ mà được nhận biết bởi cảm biến nhiệt độ thứ hai nhỏ hơn trị số định trước thứ hai. &lt; Image1
"Dinamo electric machine|The invention provides a motor-motor (10a) which can accurately detect the rotational position of a rotor and can effectively reduce the size. The motor-motor (10a) according to the present invention includes first to third magnetic sensors (44u,  44V,  and 44W) arranged equidistant at an electrical angle of 60. D egree.,  and reverses and extracts the output signals of the first magnetic sensor (44U) located in the middle or the output signals of the second magnetic sensor (44V) and the third magnetic sensor (44W) located outside. All of the first to third magnetoresistive sensors (44U,  44V and 44W) are arranged in a space (S) formed between adjacent pole portions (42) of the outer periphery of the stator (14) and the rotor (12).",迪纳莫动力机|本发明提供了一种能够精确检测转子旋转位置并能够有效减小尺寸的电机-电机(10a)。根据本发明的电机-电机(10a)包括第一至第三磁传感器(44u， 44V和44W)等距布置成60°的电角，并反转和提取位于中间的第一磁传感器(44U)的输出信号或位于外部的第二磁传感器(44V)和第三磁传感器(44W)的输出信号。 所有第一至第三磁阻传感器(44U，44V和44W)布置在定子(14)和转子(12)外周相邻的磁极部分(42)之间形成的空间(S)中。,"MÁY ĐIỆN ĐINAMÔ|Sáng chế đề xuất máy điện đinamô mà cho phép dò chính xác vị trí quay của rôto và cho phép giảm kích thước một cách hiệu quả.Máy điện đinamô (10A) theo sáng chế bao gồm các bộ cảm biến từ tính từ thứ nhất đến thứ ba (44U,  44V và 44W) được bố trí cách đều nhau một góc điện là 60°,  và đảo chiều và trích xuất ra tín hiệu ra của bộ cảm biến từ tính thứ nhất (44U) nằm giữa hoặc tín hiệu ra của mỗi trong số bộ cảm biến từ tính thứ hai (44V) và bộ cảm biến từ tính thứ ba (44W) nằm phía ngoài. Tất cả các bộ cảm biến từ tính từ thứ nhất đến thứ ba (44U,  44V và 44W) được bố trí trong không gian (S) hình thành giữa các phần cực từ (42) kề nhau trên chu vi ngoài của stato (14) và rôto (12)."
"Film-like NH3 gas sensor and NH3 gas measure device|The invention provides a thin film NH3 gas sensor,  which comprises a sensor chip made on a SiO2/Si substrate with a size of 5x5mm2,  wherein the component comprises a Pt comb electrode system,  a Pt micro thermocouple surrounding the electrode system,  and a WO3 nano material layer with a particle size of 20nm is coated on the Pt comb electrode system;  The sensor chip is packaged in an iron housing with four pins facing outward. The invention also provides an NH3 gas measuring device,  which adopts a thin film NH3 gas sensor and has the characteristic of storing measurement data to external memory cards (SD cards and MMC cards).",膜式NH3气体传感器及NH3气体测量装置|本发明提出了一种薄膜型NH3气体传感器，包括在5x5mm2尺寸的SiO2/Si基片上制成的传感器芯片，其组件包括Pt梳齿电极系统，环绕该电极系统的Pt微热电偶，在Pt梳齿电极系统上涂覆粒径为20nm的WO3纳米材料层； 传感器芯片封装在铁制外壳中，有四个引脚向外。 本发明还提出了一种NH3气体测量装置，该装置采用薄膜型NH3气体传感器，并具有将测量数据存储到外部存储卡(SD卡，MMC卡)的特征。,"CẢM BIẾN KHÍ NH3 DẠNG MÀNG VÀ THIẾT BỊ ĐO KHÍ NH3|Sáng chế đề xuất cảm biến khí NH3 dạng màng bao gồm chip cảm biến được tạo trên một mặt đế SiO2/Si kích thước 5x5mm2 có các thành phần bao gồm một hệ điện cực răng lược Pt,  một lò vi nhiệt Pt bao quanh hệ điện cực,  lớp vật liệu nano WO3 có kích thước hạt 20nm được phủ lên trên hệ điện cực răng lược Pt;  chip cảm biến được đóng gói trong vỏ cho bằng sắt và có bốn chân đưa ra ngoài. Sáng chế còn đề xuất thiết bị đo khí NH3 sử dụng cảm biến khí NH3 dạng màng và có tính năng lưu trữ dữ liệu đo ra thẻ nhớ ngoài (SD card,  MMC card)."
"A Method for Real-time Adjusting Acupoint Force and Fault Endoscope by Acupoint Machine|The invention relates to a method for real-time adjusting finger pressure and tomography of a finger press,  which comprises the following steps :  (a) setting a reference vertical height for each horizontal position of the finger press,  and setting a finger pressure to be reached within the range of the reference vertical height;  (b) Calculating the current reflection force from user tonnage measurement data placed on the load sensor;  And (c) comparing the finger pressure to be achieved with the current finger pressure to adjust the vertical height of the finger pressure unit. Among them,  the finger pressure device comprises a finger pressure unit drive module,  the drive module comprises vertical and horizontal drive motors installed as brushless one-way motors (BLDC),  the finger pressure units installed as finger pressure units are arranged into two series in front and back directions,  and a load sensor is arranged below the finger pressure units to measure user loads. & lt;  Image1",指压仪实时调节指压力及内镜断层扫描的方法|本发明涉及一种指压器实时调节指压力和断层扫描的方法，该方法包括以下步骤 : (a)为指压器的每个水平位置设置参考垂直高度，在参考垂直高度的范围内设置需要达到的指压力； (b)通过放置在负载传感器上的用户吨位测量数据来计算电流反射力； 以及(c)将需要达到的指压力与当前的指压力进行比较，以调整指压单元的垂直高度。 其中，指压器包括指压单元驱动模块，驱动模块包括安装为无刷单向电动机(BLDC)的垂直和水平驱动电机，安装为指压单元的指压单元按前后方向排列成两个系列，指压单元下方设有负荷传感器，测量用户负荷。 &lt；Image1,"PHƯƠNG PHÁP ĐIỀU CHỈNH LỰC BẤM HUYỆT VÀ NỘI SOI CẮT LỚP THEO THỜI GIAN THỰC BẰNG MÁY BẤM HUYỆT|Sáng chế liên quan đến phương pháp điều chỉnh lực bấm huyệt và nội soi cắt lớp theo thời gian thực bằng máy bấm huyệt,  phương pháp bao gồm các bước :  (a) thiết lập một chiều cao thẳng đứng tham chiếu cho mỗi vị trí ngang của bộ phận bấm huyệt và thiết lập một lực bấm huyệt cần đạt được trong phạm vi của chiều cao thẳng đứng tham chiếu;  (b) tính toán lực bấm huyệt hiện tại bằng các dữ liệu đo trọng tải của người dùng đặt vào một cảm biến tải trọng;  và (c) so sánh lực bấm huyệt cần đạt được với lực bấm huyệt cứu hiện tại để điều chỉnh chiều cao thẳng đứng của bộ phận bấm huyệt. Trong đó,  máy bấm huyệt bao gồm một mô-đun truyền động bộ phận bấm huyệt,  mô-đun truyền động bao gồm một động cơ truyền động thẳng đứng và nằm ngang được trang bị như một động cơ điện một chiều không chổi than (BLDC) và bộ phận bấm huyệt được trang bị như bộ phận xoa bóp được bố trí thành hai dãy theo hướng từ trước ra sau,  và cảm biến tải trọng được bố trí bên dưới bộ phận bấm huyệt để đo tải trọng người dùng.&lt; Image1"
